employee_completion_rate,employee_failure_rate,employee_rejection_rate,current_active_tasks,task_priority,category_match_rate,high_priority_success_rate,is_successful
0.673,0.311,0.016,13,1,0.958,0.543,0
0.774,0.06,0.165,0,1,0.381,0.255,0
0.85,0.037,0.113,4,3,0.378,0.895,0
0.85,0.055,0.094,13,1,0.534,0.812,0
0.473,0.351,0.027,6,2,0.564,0.833,0
0.615,0.211,0.169,8,2,0.101,0.796,0
0.39,0.187,0.144,8,4,0.654,0.421,0
0.929,0.041,0.03,7,1,0.998,0.887,1
0.62,0.222,0.157,0,1,0.363,0.202,1
0.447,0.338,0.215,4,4,0.668,0.39,0
0.578,0.249,0.173,5,2,0.104,0.237,0
0.584,0.2,0.216,5,4,0.644,0.288,0
0.551,0.03,0.123,3,4,0.502,0.626,0
0.379,0.045,0.286,0,4,0.577,0.23,0
0.734,0.019,0.247,2,1,0.59,0.345,0
0.664,0.103,0.089,9,1,0.259,0.386,0
0.841,0.054,0.048,14,1,0.793,0.724,0
0.664,0.104,0.131,14,1,0.6,0.575,0
0.766,0.132,0.103,3,3,0.343,0.567,1
0.555,0.305,0.14,3,4,0.944,0.815,1
0.623,0.22,0.157,12,4,0.111,0.565,0
0.62,0.227,0.153,3,1,0.753,0.479,0
0.571,0.279,0.15,13,2,0.443,0.97,0
0.394,0.045,0.031,4,3,0.57,0.207,0
0.32,0.294,0.257,12,3,0.362,0.444,0
0.803,0.107,0.09,14,2,0.389,0.688,0
0.573,0.2,0.227,14,1,0.114,0.826,0
0.793,0.136,0.035,10,3,0.757,0.853,0
0.395,0.351,0.253,8,3,0.74,0.237,0
0.395,0.105,0.027,3,4,0.689,0.767,1
0.31,0.112,0.069,8,4,0.89,0.776,0
0.545,0.372,0.014,8,1,0.911,0.371,0
0.713,0.01,0.212,0,1,0.601,0.29,1
0.518,0.251,0.23,4,4,0.716,0.8,0
0.591,0.283,0.127,8,4,0.11,0.4,0
0.603,0.216,0.18,3,4,0.862,0.201,0
0.49,0.351,0.159,4,2,0.835,0.379,0
0.533,0.315,0.153,3,3,0.118,0.225,0
0.752,0.023,0.225,12,1,0.589,0.399,0
0.578,0.329,0.089,1,1,0.916,0.468,0
0.668,0.235,0.097,9,2,0.263,0.417,0
0.63,0.181,0.189,1,4,0.417,0.936,0
0.75,0.04,0.21,1,3,0.398,0.386,0
0.403,0.26,0.293,12,4,0.42,0.574,0
0.588,0.244,0.168,0,1,0.138,0.966,0
0.615,0.348,0.036,2,2,0.351,0.903,0
0.481,0.176,0.247,14,3,0.365,0.447,0
0.621,0.016,0.123,13,3,0.879,0.461,1
0.69,0.101,0.208,10,3,0.417,0.675,0
0.577,0.296,0.127,9,3,0.502,0.934,0
0.53,0.281,0.166,0,2,0.443,0.208,0
0.684,0.169,0.146,3,1,0.209,0.514,0
0.468,0.022,0.097,0,3,0.991,0.88,1
0.353,0.171,0.023,3,3,0.843,0.528,0
0.39,0.188,0.269,2,1,0.587,0.776,0
0.389,0.371,0.24,8,4,0.529,0.754,0
0.406,0.256,0.042,0,3,0.684,0.364,0
0.397,0.125,0.233,13,3,0.394,0.56,0
0.653,0.183,0.164,7,4,0.145,0.653,0
0.427,0.026,0.123,10,1,0.464,0.772,0
0.538,0.386,0.076,8,1,0.986,0.858,0
0.698,0.108,0.194,11,3,0.264,0.808,0
0.612,0.185,0.203,6,1,0.575,0.223,0
0.715,0.132,0.153,0,4,0.108,0.737,1
0.421,0.273,0.183,3,2,0.21,0.598,0
0.435,0.265,0.027,9,4,0.628,0.659,0
0.329,0.286,0.142,0,4,0.368,0.498,1
0.418,0.107,0.058,3,2,0.915,0.771,1
0.495,0.126,0.063,14,4,0.466,0.739,0
0.424,0.05,0.198,2,3,0.287,0.664,0
0.362,0.262,0.273,1,3,0.591,0.889,0
0.384,0.016,0.121,0,1,0.815,0.282,1
0.623,0.239,0.062,5,1,0.117,0.441,0
0.444,0.348,0.195,11,4,0.555,0.596,0
0.473,0.304,0.223,6,3,0.796,0.967,0
0.618,0.17,0.212,5,3,0.193,0.258,0
0.638,0.15,0.212,8,2,0.913,0.47,0
0.328,0.031,0.161,11,1,0.338,0.941,0
0.635,0.198,0.167,8,3,0.254,0.918,0
0.666,0.296,0.038,1,4,0.63,0.892,1
0.357,0.098,0.104,14,3,0.258,0.447,0
0.762,0.141,0.098,14,1,0.712,0.877,0
0.659,0.234,0.107,1,4,0.541,0.604,1
0.343,0.351,0.279,8,1,0.199,0.696,0
0.494,0.097,0.262,0,3,0.921,0.391,1
0.768,0.196,0.036,4,3,0.706,0.765,1
0.824,0.077,0.052,0,3,0.591,0.462,1
0.429,0.041,0.107,6,1,0.437,0.475,0
0.447,0.364,0.087,8,4,0.221,0.709,0
0.522,0.306,0.172,5,3,0.737,0.392,1
0.526,0.25,0.223,13,3,0.832,0.38,0
0.704,0.019,0.277,1,3,0.213,0.495,0
0.511,0.309,0.18,5,2,0.545,0.822,0
0.594,0.167,0.239,8,2,0.536,0.38,0
0.737,0.123,0.141,2,4,0.415,0.83,0
0.326,0.219,0.062,8,1,0.81,0.756,0
0.477,0.037,0.157,7,3,0.19,0.743,0
0.63,0.239,0.131,14,3,0.285,0.58,0
0.67,0.169,0.161,12,1,0.101,0.797,0
0.658,0.075,0.066,11,1,0.436,0.211,0
0.672,0.075,0.11,6,4,0.362,0.444,0
0.375,0.074,0.109,7,1,0.88,0.743,0
0.613,0.023,0.288,9,3,0.771,0.99,0
0.646,0.226,0.128,5,4,0.176,0.202,0
0.455,0.326,0.219,2,2,0.767,0.608,0
0.488,0.007,0.225,6,4,0.708,0.939,0
0.564,0.02,0.08,3,4,0.354,0.891,1
0.314,0.229,0.172,10,4,0.114,0.219,0
0.469,0.292,0.239,9,1,0.204,0.624,0
0.448,0.131,0.143,13,3,0.325,0.203,0
0.529,0.14,0.284,4,1,0.835,0.832,0
0.384,0.239,0.064,7,3,0.519,0.447,0
0.875,0.104,0.021,14,1,0.927,0.812,0
0.716,0.011,0.267,6,4,0.81,0.956,1
0.586,0.222,0.192,6,3,0.358,0.981,1
0.609,0.179,0.213,7,1,0.861,0.915,0
0.598,0.214,0.188,9,4,0.205,0.363,0
0.361,0.297,0.281,2,2,0.133,0.356,0
0.566,0.226,0.208,2,1,0.648,0.701,0
0.679,0.079,0.242,1,1,0.408,0.635,0
0.725,0.124,0.151,14,2,0.396,0.208,0
0.602,0.05,0.115,0,1,0.718,0.513,1
0.389,0.052,0.28,9,2,0.865,0.925,0
0.499,0.27,0.13,5,3,0.39,0.919,0
0.523,0.324,0.153,5,2,0.393,0.363,0
0.592,0.303,0.105,12,4,0.58,0.506,0
0.624,0.224,0.151,9,2,0.688,0.648,0
0.549,0.074,0.141,11,3,0.283,0.882,0
0.946,0.04,0.014,7,2,0.921,0.626,1
0.551,0.247,0.201,13,2,0.689,0.975,0
0.466,0.232,0.133,5,3,0.663,0.839,1
0.371,0.247,0.177,5,1,0.914,0.962,0
0.407,0.313,0.042,0,1,0.917,0.785,0
0.472,0.281,0.001,11,4,0.222,0.902,0
0.412,0.334,0.074,6,4,0.231,0.865,0
0.431,0.022,0.211,6,2,0.786,0.403,0
0.5,0.299,0.03,9,1,0.961,0.384,0
0.407,0.329,0.264,8,1,0.7,0.892,0
0.838,0.103,0.058,13,2,0.47,0.268,0
0.356,0.256,0.061,14,3,0.715,0.527,0
0.667,0.126,0.054,11,1,0.306,0.857,0
0.587,0.383,0.004,6,4,0.998,0.851,0
0.801,0.011,0.188,7,2,0.488,0.311,0
0.378,0.232,0.263,3,3,0.939,0.59,0
0.578,0.067,0.184,8,4,0.488,0.584,0
0.741,0.216,0.043,14,1,0.935,0.459,0
0.853,0.066,0.081,13,3,0.402,0.934,0
0.786,0.085,0.129,0,4,0.784,0.722,1
0.481,0.198,0.286,7,2,0.956,0.984,0
0.42,0.366,0.074,2,3,0.681,0.253,0
0.716,0.079,0.205,13,3,0.71,0.515,0
0.834,0.051,0.116,0,2,0.193,0.868,1
0.637,0.28,0.083,1,1,0.527,0.538,0
0.675,0.193,0.132,14,1,0.898,0.41,0
0.496,0.365,0.021,5,3,0.317,0.998,0
0.738,0.052,0.211,4,3,0.81,0.898,0
0.431,0.258,0.073,13,3,0.708,0.637,0
0.527,0.093,0.218,2,4,0.301,0.649,0
0.598,0.063,0.021,8,3,0.355,0.205,0
0.539,0.225,0.236,7,1,0.485,0.985,0
0.47,0.237,0.058,12,2,0.213,0.845,0
0.38,0.302,0.265,2,2,0.922,0.229,0
0.665,0.113,0.222,1,2,0.765,0.341,0
0.502,0.179,0.29,7,3,0.428,0.857,0
0.698,0.16,0.142,13,3,0.37,0.269,0
0.4,0.386,0.214,14,2,0.721,0.953,0
0.637,0.117,0.111,4,4,0.482,1.0,1
0.673,0.118,0.055,14,4,0.306,0.909,0
0.336,0.142,0.133,8,4,0.487,0.791,0
0.536,0.226,0.05,0,4,0.884,0.59,1
0.394,0.101,0.295,9,1,0.162,0.266,0
0.344,0.366,0.029,2,2,0.432,0.784,0
0.778,0.083,0.139,4,1,0.966,0.517,0
0.49,0.334,0.175,1,3,0.113,0.656,0
0.81,0.039,0.151,2,4,0.902,0.435,1
0.478,0.263,0.199,3,4,0.437,0.394,0
0.661,0.309,0.03,3,2,0.271,0.459,0
0.781,0.063,0.156,10,4,0.113,0.851,0
0.602,0.325,0.072,8,2,0.163,0.541,0
0.576,0.166,0.258,0,3,0.255,0.449,0
0.492,0.317,0.191,11,4,0.123,0.546,0
0.492,0.245,0.264,8,4,0.402,0.226,0
0.878,0.111,0.01,14,1,0.14,0.912,0
0.846,0.072,0.082,8,2,0.723,0.641,1
0.844,0.105,0.051,10,2,0.837,0.284,0
0.387,0.037,0.003,5,4,0.899,0.431,0
0.812,0.058,0.073,10,1,0.594,0.987,0
0.796,0.035,0.169,0,4,0.952,0.674,1
0.427,0.169,0.069,10,2,0.105,0.433,0
0.347,0.318,0.153,12,2,0.221,0.541,0
0.717,0.05,0.233,11,4,0.364,0.407,0
0.702,0.052,0.208,5,3,0.81,0.225,0
0.703,0.203,0.094,7,4,0.897,0.874,1
0.398,0.079,0.112,4,1,0.656,0.434,0
0.83,0.038,0.132,4,2,0.445,0.871,0
0.441,0.067,0.053,0,2,0.699,0.583,1
0.415,0.369,0.19,0,4,0.263,0.346,0
0.415,0.329,0.109,7,3,0.512,0.841,0
0.687,0.112,0.202,12,2,0.557,0.502,0
0.61,0.209,0.181,4,4,0.194,0.766,0
0.626,0.202,0.172,7,3,0.13,0.87,0
0.551,0.271,0.109,9,4,0.775,0.97,0
0.731,0.218,0.05,1,4,0.581,0.269,0
0.543,0.237,0.22,14,4,0.399,0.207,0
0.775,0.095,0.13,3,2,0.494,0.639,0
0.607,0.016,0.067,12,3,0.962,0.411,0
0.564,0.182,0.059,10,1,0.446,0.575,0
0.606,0.346,0.048,13,1,0.193,0.258,0
0.511,0.228,0.233,9,2,0.517,0.601,0
0.672,0.272,0.056,8,2,0.683,0.3,0
0.54,0.329,0.131,12,4,0.111,0.871,0
0.463,0.065,0.135,2,4,0.399,0.808,0
0.674,0.2,0.126,5,3,0.454,0.259,1
0.516,0.245,0.239,10,4,0.517,0.869,0
0.511,0.294,0.195,6,3,0.372,0.46,0
0.638,0.269,0.092,2,4,0.7,0.482,0
0.725,0.27,0.005,0,4,0.95,0.344,1
0.382,0.097,0.128,1,1,0.923,0.868,0
0.656,0.219,0.125,10,2,0.698,0.524,0
0.739,0.043,0.167,13,3,0.556,0.239,0
0.513,0.3,0.188,9,1,0.843,0.973,0
0.397,0.364,0.046,6,4,0.852,0.405,0
0.711,0.127,0.161,6,1,0.847,0.949,1
0.705,0.242,0.053,11,3,0.242,0.441,0
0.629,0.161,0.21,0,2,0.123,0.865,0
0.77,0.146,0.085,9,1,0.985,0.731,0
0.717,0.104,0.179,6,3,0.964,0.889,1
0.406,0.305,0.014,14,4,0.608,0.981,0
0.511,0.369,0.121,9,1,0.994,0.897,0
0.446,0.354,0.199,10,2,0.793,0.523,0
0.821,0.07,0.068,5,3,0.566,0.852,1
0.323,0.35,0.239,10,2,0.45,0.769,0
0.591,0.249,0.16,5,4,0.634,0.249,0
0.75,0.091,0.159,6,2,0.564,0.944,0
0.873,0.026,0.101,6,4,0.994,0.573,0
0.539,0.107,0.145,0,4,0.541,0.308,0
0.617,0.257,0.126,9,1,0.852,0.54,0
0.377,0.253,0.142,4,4,0.832,0.683,0
0.642,0.207,0.151,14,2,0.164,0.658,0
0.389,0.103,0.13,13,1,0.178,0.66,0
0.578,0.288,0.061,13,4,0.694,0.405,0
0.858,0.011,0.064,7,3,0.333,0.706,0
0.405,0.15,0.002,7,3,0.692,0.926,0
0.46,0.251,0.09,2,4,0.23,0.511,0
0.74,0.054,0.206,2,1,0.457,0.704,0
0.586,0.24,0.174,6,1,0.192,0.395,0
0.749,0.094,0.061,14,1,0.354,0.239,0
0.589,0.196,0.216,3,2,0.179,0.669,0
0.68,0.162,0.151,5,3,0.974,0.238,1
0.476,0.238,0.275,8,4,0.456,0.779,0
0.542,0.043,0.212,9,4,0.911,0.736,0
0.427,0.007,0.217,1,3,0.974,0.495,1
0.706,0.275,0.019,1,2,0.919,0.529,1
0.708,0.108,0.066,5,1,0.509,0.934,1
0.581,0.328,0.003,2,3,0.801,0.211,0
0.504,0.323,0.174,0,4,0.238,0.651,0
0.837,0.073,0.09,1,2,0.185,0.939,0
0.407,0.106,0.236,13,4,0.889,0.931,0
0.659,0.246,0.094,12,1,0.128,0.668,0
0.509,0.3,0.191,6,3,0.975,0.505,0
0.642,0.323,0.035,3,1,0.705,0.279,0
0.313,0.201,0.052,11,2,0.478,0.339,0
0.684,0.239,0.077,1,3,0.227,0.744,0
0.843,0.048,0.109,10,1,0.751,0.213,0
0.584,0.328,0.088,11,1,0.607,0.907,0
0.562,0.275,0.163,11,1,0.74,0.67,0
0.909,0.063,0.028,7,2,0.476,0.236,0
0.779,0.117,0.103,3,1,0.16,0.392,0
0.407,0.04,0.251,3,4,0.383,0.675,0
0.703,0.109,0.02,1,3,0.384,0.228,0
0.543,0.245,0.212,13,3,0.108,0.824,0
0.572,0.145,0.283,0,1,0.109,0.936,0
0.816,0.035,0.027,0,2,0.398,0.969,0
0.81,0.116,0.074,2,4,0.755,0.787,1
0.653,0.27,0.077,5,4,0.662,0.885,0
0.559,0.229,0.212,6,3,0.315,0.689,0
0.379,0.166,0.179,12,3,0.642,0.567,0
0.792,0.053,0.155,8,4,0.683,0.771,1
0.588,0.261,0.151,4,3,0.57,0.379,0
0.387,0.328,0.035,8,1,0.569,0.288,0
0.723,0.086,0.191,7,4,0.433,0.809,0
0.791,0.024,0.184,0,3,0.211,0.967,1
0.663,0.023,0.173,10,1,0.447,0.662,0
0.694,0.047,0.259,11,1,0.411,0.586,0
0.567,0.227,0.206,2,4,0.633,0.628,0
0.338,0.372,0.061,7,1,0.871,0.583,0
0.535,0.199,0.129,8,4,0.438,0.554,0
0.64,0.25,0.11,13,1,0.739,0.958,0
0.303,0.178,0.017,3,4,0.831,0.584,1
0.484,0.257,0.26,13,4,0.291,0.265,0
0.579,0.293,0.039,13,4,0.911,0.812,0
0.676,0.07,0.209,13,4,0.163,0.513,0
0.761,0.116,0.122,11,1,0.912,0.769,0
0.542,0.255,0.008,5,4,0.247,0.664,0
0.543,0.028,0.277,3,3,0.403,0.771,0
0.671,0.119,0.21,12,1,0.645,0.25,0
0.617,0.214,0.157,14,4,0.915,0.227,0
0.457,0.398,0.069,8,1,0.33,0.503,0
0.617,0.19,0.036,1,1,0.787,0.755,0
0.399,0.326,0.109,5,1,0.739,0.379,0
0.423,0.173,0.077,10,1,0.244,0.547,0
0.58,0.285,0.136,12,4,0.532,0.985,0
0.529,0.212,0.259,2,1,0.533,0.372,0
0.641,0.242,0.118,9,3,0.374,0.878,0
0.554,0.164,0.267,3,1,0.802,0.86,0
0.618,0.211,0.171,1,1,0.933,0.913,1
0.653,0.222,0.125,10,3,0.745,0.932,1
0.309,0.167,0.256,7,4,0.976,0.606,1
0.764,0.058,0.141,9,3,0.145,0.746,0
0.425,0.037,0.261,7,2,0.134,0.695,0
0.912,0.006,0.082,0,3,0.904,0.447,1
0.404,0.349,0.039,9,4,0.908,0.424,0
0.59,0.095,0.257,5,3,0.196,0.473,0
0.36,0.085,0.176,0,1,0.422,0.375,1
0.64,0.189,0.171,5,4,0.852,0.806,1
0.614,0.121,0.265,6,2,0.216,0.972,0
0.717,0.202,0.016,14,4,0.341,0.894,0
0.347,0.065,0.15,1,1,0.713,0.374,0
0.624,0.291,0.085,8,2,0.984,0.242,0
0.447,0.341,0.188,7,4,0.817,0.806,0
0.614,0.228,0.157,8,4,0.8,0.512,0
0.444,0.163,0.084,14,1,0.408,0.86,0
0.433,0.305,0.167,9,3,0.695,0.823,0
0.326,0.058,0.213,12,3,0.202,0.7,0
0.63,0.003,0.04,3,2,0.993,0.404,1
0.695,0.008,0.244,3,1,0.533,0.283,0
0.346,0.235,0.182,11,1,0.675,0.402,0
0.643,0.139,0.217,7,3,0.889,0.608,0
0.617,0.207,0.102,0,3,0.101,0.984,0
0.667,0.003,0.032,7,2,0.978,0.251,0
0.609,0.169,0.152,6,3,0.423,0.36,0
0.581,0.287,0.026,11,2,0.406,0.702,0
0.596,0.153,0.251,6,4,0.231,0.443,0
0.409,0.293,0.012,8,2,0.872,0.887,0
0.427,0.093,0.226,14,2,0.884,0.312,0
0.652,0.235,0.114,12,2,0.118,0.971,0
0.736,0.18,0.085,9,4,0.15,0.93,0
0.561,0.084,0.02,6,3,0.927,0.91,1
0.49,0.095,0.187,14,2,0.211,0.338,0
0.638,0.213,0.149,1,3,0.659,0.464,0
0.585,0.331,0.084,0,2,0.658,0.843,0
0.318,0.166,0.273,0,3,0.883,0.846,1
0.409,0.103,0.091,6,2,0.615,0.764,0
0.625,0.27,0.105,4,3,0.491,0.558,0
0.639,0.225,0.137,3,1,0.977,0.449,1
0.319,0.179,0.03,4,4,0.306,0.97,0
0.455,0.195,0.28,9,2,0.336,0.311,0
0.462,0.082,0.112,9,4,0.176,0.235,0
0.737,0.24,0.023,5,2,0.978,0.207,0
0.314,0.143,0.116,11,1,0.736,0.82,0
0.373,0.398,0.18,14,1,0.111,0.245,0
0.713,0.159,0.128,9,4,0.734,0.631,0
0.425,0.194,0.208,5,2,0.464,0.494,0
0.757,0.226,0.017,0,3,0.971,0.318,1
0.467,0.367,0.085,1,2,0.35,0.792,0
0.37,0.32,0.246,2,3,0.739,0.244,0
0.47,0.18,0.024,3,4,0.665,0.455,0
0.597,0.213,0.19,5,4,0.111,0.65,0
0.774,0.202,0.024,11,1,0.897,0.522,0
0.663,0.148,0.188,11,3,0.226,0.407,0
0.578,0.077,0.108,10,2,0.697,0.941,0
0.675,0.163,0.162,12,1,0.798,0.945,0
0.443,0.098,0.046,8,4,0.668,0.533,0
0.505,0.366,0.02,11,1,0.187,0.515,0
0.823,0.119,0.058,1,2,0.978,0.446,1
0.309,0.381,0.038,7,2,0.313,0.885,0
0.36,0.213,0.094,8,4,0.665,0.654,0
0.446,0.253,0.154,1,1,0.817,0.272,0
0.319,0.217,0.177,8,3,0.945,0.883,0
0.427,0.052,0.237,6,3,0.644,0.628,0
0.671,0.142,0.187,8,3,0.333,0.532,0
0.595,0.04,0.183,5,2,0.853,0.47,1
0.713,0.192,0.095,1,1,0.247,0.28,0
0.731,0.15,0.119,7,3,0.12,0.965,0
0.539,0.311,0.124,9,1,0.917,0.793,0
0.482,0.088,0.253,14,4,0.618,0.305,0
0.566,0.066,0.069,8,3,0.163,0.609,0
0.713,0.163,0.002,11,1,0.622,0.644,0
0.463,0.352,0.185,7,2,0.231,0.334,0
0.681,0.263,0.056,1,4,0.128,0.542,0
0.574,0.164,0.261,14,4,0.205,0.717,0
0.596,0.18,0.224,7,4,0.798,0.427,0
0.605,0.034,0.023,2,4,0.78,0.465,1
0.506,0.394,0.032,2,2,0.644,0.298,0
0.699,0.193,0.108,8,2,0.288,0.531,0
0.738,0.101,0.162,12,3,0.765,0.667,0
0.398,0.234,0.082,8,2,0.467,0.293,0
0.778,0.038,0.184,14,2,0.56,0.692,0
0.532,0.32,0.148,8,4,0.908,0.518,0
0.847,0.064,0.089,3,2,0.512,0.743,0
0.763,0.23,0.007,11,4,0.664,0.452,0
0.598,0.098,0.225,13,1,0.966,0.655,0
0.316,0.287,0.064,6,1,0.506,0.69,0
0.465,0.296,0.239,12,1,0.605,0.752,0
0.632,0.251,0.117,7,1,0.626,0.806,0
0.64,0.211,0.149,14,1,0.317,0.309,0
0.437,0.325,0.238,14,1,0.763,0.972,0
0.398,0.031,0.259,12,1,0.754,0.875,0
0.784,0.117,0.099,14,4,0.292,0.65,0
0.859,0.086,0.054,12,4,0.112,0.912,0
0.516,0.305,0.179,4,4,0.999,0.506,1
0.42,0.156,0.13,12,4,0.623,0.227,0
0.491,0.293,0.058,14,2,0.263,0.782,0
0.313,0.274,0.271,14,2,0.355,0.955,0
0.867,0.078,0.055,0,3,0.656,0.329,1
0.382,0.096,0.008,14,2,0.224,0.715,0
0.704,0.113,0.006,8,4,0.134,0.851,0
0.492,0.164,0.187,5,4,0.819,0.924,0
0.688,0.094,0.199,2,1,0.744,0.421,1
0.756,0.008,0.093,2,1,0.379,0.303,0
0.663,0.265,0.072,13,3,0.153,0.398,0
0.444,0.386,0.102,13,2,0.538,0.662,0
0.308,0.137,0.204,9,4,0.349,0.935,0
0.396,0.135,0.017,0,2,0.458,0.666,1
0.768,0.002,0.23,12,3,0.347,0.936,0
0.729,0.218,0.053,7,1,0.258,0.816,0
0.533,0.245,0.222,1,4,0.448,0.679,1
0.72,0.059,0.051,11,1,0.968,0.217,0
0.722,0.06,0.218,0,4,0.34,0.466,0
0.423,0.316,0.067,6,1,0.402,0.246,0
0.776,0.204,0.02,13,1,0.396,0.458,0
0.593,0.018,0.262,10,3,0.532,0.25,0
0.529,0.232,0.24,8,2,0.859,0.334,0
0.663,0.124,0.121,5,1,0.462,0.529,0
0.333,0.147,0.211,7,4,0.826,0.612,0
0.416,0.308,0.167,7,2,0.204,0.374,0
0.585,0.232,0.183,8,2,0.905,0.786,0
0.358,0.16,0.095,6,1,0.267,0.672,0
0.574,0.301,0.125,8,1,0.135,0.753,0
0.472,0.163,0.146,14,1,0.243,0.786,0
0.573,0.309,0.106,8,2,0.272,0.782,0
0.502,0.194,0.267,11,3,0.558,0.949,0
0.549,0.359,0.05,10,1,0.505,0.39,0
0.663,0.3,0.037,0,2,0.744,0.416,0
0.508,0.035,0.173,5,2,0.146,0.275,0
0.549,0.295,0.156,11,4,0.548,0.674,0
0.62,0.323,0.057,7,1,0.399,0.516,0
0.638,0.264,0.098,9,3,0.668,0.597,0
0.724,0.061,0.215,8,4,0.139,0.336,0
0.672,0.266,0.061,14,1,0.131,0.719,0
0.45,0.34,0.201,3,4,0.485,0.695,0
0.322,0.116,0.222,12,1,0.83,0.412,0
0.484,0.381,0.134,1,4,0.704,0.572,1
0.704,0.02,0.276,10,3,0.115,0.915,0
0.336,0.06,0.221,8,4,0.261,0.819,0
0.647,0.215,0.137,8,4,0.304,0.382,0
0.642,0.206,0.153,11,4,0.481,0.903,0
0.534,0.258,0.208,7,1,0.628,0.254,0
0.82,0.007,0.173,2,1,0.295,0.531,0
0.366,0.376,0.258,4,3,0.444,0.264,0
0.353,0.018,0.107,1,4,0.626,0.939,0
0.81,0.057,0.09,13,2,0.445,0.233,0
0.647,0.006,0.064,2,4,0.229,0.321,1
0.767,0.222,0.011,0,2,0.542,0.932,1
0.604,0.373,0.013,3,2,0.392,0.666,0
0.472,0.266,0.261,4,4,0.878,0.836,0
0.621,0.234,0.145,11,2,0.798,0.213,0
0.809,0.005,0.186,1,2,0.271,0.535,1
0.662,0.183,0.155,14,4,0.237,0.988,0
0.491,0.184,0.255,14,1,0.413,0.664,0
0.675,0.189,0.136,2,4,0.471,0.88,0
0.553,0.029,0.261,11,3,0.939,0.971,0
0.364,0.274,0.108,5,2,0.371,0.748,0
0.663,0.142,0.196,5,3,0.881,0.462,0
0.396,0.306,0.21,14,2,0.555,0.447,0
0.781,0.157,0.062,6,1,0.897,0.257,0
0.612,0.06,0.169,11,2,0.732,0.542,0
0.43,0.259,0.16,8,4,0.738,0.932,0
0.679,0.069,0.041,3,2,0.567,0.582,1
0.634,0.243,0.123,4,3,0.856,0.929,0
0.705,0.213,0.082,10,4,0.329,0.854,0
0.865,0.063,0.016,1,3,0.917,0.987,1
0.532,0.269,0.199,5,1,0.673,0.958,0
0.662,0.175,0.162,3,3,0.495,0.765,0
0.754,0.025,0.222,4,3,0.984,0.897,1
0.475,0.251,0.203,6,3,0.876,0.798,0
0.643,0.101,0.107,5,4,0.795,0.763,1
0.455,0.321,0.154,7,1,0.347,0.772,0
0.652,0.215,0.133,5,1,0.976,0.777,1
0.586,0.239,0.176,9,1,0.769,0.504,0
0.328,0.201,0.076,13,3,0.645,0.539,0
0.641,0.147,0.212,7,4,0.93,0.435,0
0.621,0.197,0.182,12,4,0.246,0.319,0
0.426,0.053,0.201,13,4,0.225,0.567,0
0.583,0.183,0.234,13,3,0.607,0.92,0
0.736,0.171,0.093,3,1,0.151,0.721,0
0.324,0.036,0.286,11,3,0.698,0.245,0
0.676,0.143,0.181,6,4,0.317,0.849,0
0.508,0.341,0.013,2,3,0.207,0.948,0
0.606,0.219,0.174,0,2,0.469,0.864,0
0.841,0.034,0.125,12,1,0.519,0.782,0
0.846,0.032,0.122,8,1,0.253,0.32,0
0.632,0.105,0.17,8,4,0.137,0.479,0
0.696,0.27,0.035,5,3,0.473,0.652,0
0.823,0.048,0.13,14,4,0.784,0.261,0
0.493,0.272,0.235,1,3,0.887,0.285,0
0.88,0.04,0.005,7,2,0.188,0.947,0
0.326,0.249,0.082,9,1,0.572,0.762,0
0.717,0.142,0.001,5,1,0.337,0.42,0
0.461,0.316,0.125,6,3,0.437,0.462,0
0.384,0.093,0.218,12,1,0.94,0.508,0
0.354,0.256,0.24,0,3,0.417,0.26,0
0.676,0.081,0.243,2,4,0.429,0.791,0
0.535,0.284,0.181,14,2,0.288,0.341,0
0.655,0.283,0.062,0,3,0.964,0.844,1
0.346,0.051,0.277,9,2,0.511,0.877,0
0.473,0.315,0.211,0,4,0.613,0.711,1
0.623,0.218,0.158,11,4,0.508,0.816,0
0.767,0.046,0.187,11,4,0.328,0.337,0
0.523,0.171,0.277,10,3,0.829,0.661,0
0.726,0.063,0.21,12,2,0.126,0.741,0
0.702,0.214,0.084,0,2,0.721,0.729,0
0.586,0.243,0.171,3,1,0.635,0.294,0
0.463,0.042,0.012,12,3,0.23,0.476,0
0.317,0.202,0.116,6,1,0.249,0.46,0
0.67,0.24,0.09,6,1,0.693,0.658,0
0.315,0.374,0.05,11,3,0.381,0.812,0
0.811,0.183,0.006,12,1,0.339,0.656,0
0.615,0.349,0.037,4,1,0.153,0.804,0
0.7,0.157,0.144,11,1,0.79,0.279,0
0.683,0.125,0.191,5,4,0.894,0.903,1
0.611,0.208,0.181,1,3,0.838,0.629,0
0.545,0.197,0.104,4,4,0.519,0.23,0
0.694,0.157,0.149,6,1,0.581,0.715,0
0.549,0.185,0.266,13,1,0.318,0.614,0
0.621,0.331,0.049,8,4,0.256,0.376,0
0.574,0.259,0.167,5,1,0.841,0.812,1
0.701,0.124,0.174,11,3,0.819,0.947,0
0.861,0.116,0.023,13,2,0.8,0.458,1
0.648,0.152,0.2,9,4,0.517,0.595,0
0.556,0.215,0.229,3,2,0.878,0.303,1
0.595,0.095,0.01,2,2,0.934,0.944,1
0.703,0.273,0.024,8,2,0.396,0.455,0
0.467,0.195,0.015,6,4,0.302,0.356,0
0.377,0.134,0.1,10,1,0.518,0.583,0
0.548,0.043,0.153,13,3,0.261,0.235,0
